"bundleID","starter","main_dish","salad_soup","side","dessert","ratings"
25,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","Mac and Cheese","Smores",7.307
26,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","Mac and Cheese","Apple Pie A La Mode",5.397
27,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","Mashed Potato","Smores",6.357
29,"Fried Chicken Tenders","Grilled Sausages","Winter Salad","French Fry Basket","Smores",7.307
31,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","Mac and Cheese","Smores",8.167
32,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","Mac and Cheese","Apple Pie A La Mode",7.257
33,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","Mashed Potato","Smores",7.217
35,"Fried Chicken Tenders","Grilled Sausages","Potato Salad","French Fry Basket","Smores",8.896125
37,"Fried Chicken Tenders","Grilled Sausages","Chili","Mac and Cheese","Smores",9.747
38,"Fried Chicken Tenders","Grilled Sausages","Chili","Mac and Cheese","Apple Pie A La Mode",9.837
39,"Fried Chicken Tenders","Grilled Sausages","Chili","Mashed Potato","Smores",9.797
40,"Fried Chicken Tenders","Grilled Sausages","Chili","Mashed Potato","Apple Pie A La Mode",7.887
41,"Fried Chicken Tenders","Grilled Sausages","Chili","French Fry Basket","Smores",9.403625
42,"Fried Chicken Tenders","Grilled Sausages","Chili","French Fry Basket","Apple Pie A La Mode",6.837
43,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","Mac and Cheese","Smores",7.167
44,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","Mac and Cheese","Apple Pie A La Mode",6.257
45,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","Mashed Potato","Smores",8.939875
47,"Fried Chicken Tenders","Grilled Sausages","Beef Stew","French Fry Basket","Smores",8.896125
145,"Crabcakes and Shrimp","Grilled Sausages","Winter Salad","Mac and Cheese","Smores",8.307
146,"Crabcakes and Shrimp","Grilled Sausages","Winter Salad","Mac and Cheese","Apple Pie A La Mode",9.397
147,"Crabcakes and Shrimp","Grilled Sausages","Winter Salad","Mashed Potato","Smores",4.357
149,"Crabcakes and Shrimp","Grilled Sausages","Winter Salad","French Fry Basket","Smores",9.893625
151,"Crabcakes and Shrimp","Grilled Sausages","Potato Salad","Mac and Cheese","Smores",8.167
152,"Crabcakes and Shrimp","Grilled Sausages","Potato Salad","Mac and Cheese","Apple Pie A La Mode",5.257
153,"Crabcakes and Shrimp","Grilled Sausages","Potato Salad","Mashed Potato","Smores",8.217
155,"Crabcakes and Shrimp","Grilled Sausages","Potato Salad","French Fry Basket","Smores",8.896125
157,"Crabcakes and Shrimp","Grilled Sausages","Chili","Mac and Cheese","Smores",9.747
158,"Crabcakes and Shrimp","Grilled Sausages","Chili","Mac and Cheese","Apple Pie A La Mode",8.837
159,"Crabcakes and Shrimp","Grilled Sausages","Chili","Mashed Potato","Smores",8.797
160,"Crabcakes and Shrimp","Grilled Sausages","Chili","Mashed Potato","Apple Pie A La Mode",7.887
161,"Crabcakes and Shrimp","Grilled Sausages","Chili","French Fry Basket","Smores",9.403625
162,"Crabcakes and Shrimp","Grilled Sausages","Chili","French Fry Basket","Apple Pie A La Mode",7.837
163,"Crabcakes and Shrimp","Grilled Sausages","Beef Stew","Mac and Cheese","Smores",9.167
164,"Crabcakes and Shrimp","Grilled Sausages","Beef Stew","Mac and Cheese","Apple Pie A La Mode",9.849875
165,"Crabcakes and Shrimp","Grilled Sausages","Beef Stew","Mashed Potato","Smores",6.217
167,"Crabcakes and Shrimp","Grilled Sausages","Beef Stew","French Fry Basket","Smores",8.896125
241,"Sticky Chicken Tenders","BBQ Ribs","Winter Salad","Mac and Cheese","Smores",9.788625
242,"Sticky Chicken Tenders","BBQ Ribs","Winter Salad","Mac and Cheese","Apple Pie A La Mode",5.277
243,"Sticky Chicken Tenders","BBQ Ribs","Winter Salad","Mashed Potato","Smores",5.237
245,"Sticky Chicken Tenders","BBQ Ribs","Winter Salad","French Fry Basket","Smores",7.187
247,"Sticky Chicken Tenders","BBQ Ribs","Potato Salad","Mac and Cheese","Smores",8.791125
248,"Sticky Chicken Tenders","BBQ Ribs","Potato Salad","Mac and Cheese","Apple Pie A La Mode",9.744875
249,"Sticky Chicken Tenders","BBQ Ribs","Potato Salad","Mashed Potato","Smores",7.097
251,"Sticky Chicken Tenders","BBQ Ribs","Potato Salad","French Fry Basket","Smores",8.047
253,"Sticky Chicken Tenders","BBQ Ribs","Chili","Mac and Cheese","Smores",9.129025390625
254,"Sticky Chicken Tenders","BBQ Ribs","Chili","Mac and Cheese","Apple Pie A La Mode",8.970828125
255,"Sticky Chicken Tenders","BBQ Ribs","Chili","Mashed Potato","Smores",9.342375
256,"Sticky Chicken Tenders","BBQ Ribs","Chili","Mashed Potato","Apple Pie A La Mode",9.009109375
257,"Sticky Chicken Tenders","BBQ Ribs","Chili","French Fry Basket","Smores",9.298625
258,"Sticky Chicken Tenders","BBQ Ribs","Chili","French Fry Basket","Apple Pie A La Mode",8.717
259,"Sticky Chicken Tenders","BBQ Ribs","Beef Stew","Mac and Cheese","Smores",9.047
260,"Sticky Chicken Tenders","BBQ Ribs","Beef Stew","Mac and Cheese","Apple Pie A La Mode",7.137
261,"Sticky Chicken Tenders","BBQ Ribs","Beef Stew","Mashed Potato","Smores",8.834875
263,"Sticky Chicken Tenders","BBQ Ribs","Beef Stew","French Fry Basket","Smores",9.047
265,"Sticky Chicken Tenders","Grilled Sausages","Winter Salad","Mac and Cheese","Smores",9.685060546875
266,"Sticky Chicken Tenders","Grilled Sausages","Winter Salad","Mac and Cheese","Apple Pie A La Mode",7.547
267,"Sticky Chicken Tenders","Grilled Sausages","Winter Salad","Mashed Potato","Smores",6.507
269,"Sticky Chicken Tenders","Grilled Sausages","Winter Salad","French Fry Basket","Smores",7.457
271,"Sticky Chicken Tenders","Grilled Sausages","Potato Salad","Mac and Cheese","Smores",9.902375
272,"Sticky Chicken Tenders","Grilled Sausages","Potato Salad","Mac and Cheese","Apple Pie A La Mode",9.106125
