"visitorID","age","gender","prev_wincarn","homestate","phys_level","travel_dist","occupation","companion_type","ski_snowboard","social_media","preference"
1391,23,"Male",2,"Quebec","Sedentary",13.7526194751263,"student","fam_children",1,0.47,"Indoor"
1463,31,"Male",0,"Quebec","Sedentary",6.78314817138016,"blue collar","fam_children",1,0.73,"Outdoor"
1859,39,"Male",1,"Quebec","Sedentary",3.46919261850417,"white collar","fam_children",1,0.98,"Outdoor"
1523,24,"Male",3,"Quebec","Sedentary",16.8671821421924,"student","solo",1,0.3,"Outdoor"
100,45,"Male",2,"Quebec","Sedentary",13.0838580336422,"white collar","friends",1,0.34,"Outdoor"
1869,47,"Male",1,"Quebec","Sedentary",33.2432673766952,"white collar","friends",1,0.38,"Outdoor"
1932,81,"Male",0,"Quebec","Sedentary",14.4238024941626,"white collar","friends",1,0.07,"Outdoor"
1058,25,"Female",4,"Quebec","Sedentary",23.0805105520471,"student","fam_children",1,0.16,"Outdoor"
1173,25,"Female",3,"Quebec","Sedentary",8.52540386840701,"student","fam_children",1,0.63,"Outdoor"
2220,23,"Female",0,"Quebec","Sedentary",9.46962588854779,"student","fam_children",1,0.17,"Outdoor"
439,36,"Female",0,"Quebec","Sedentary",3.09064378030598,"retired","fam_children",1,0.02,"Indoor"
864,45,"Female",1,"Quebec","Sedentary",7.44072251953185,"white collar","fam_children",1,0.59,"Indoor"
1296,39,"Female",0,"Quebec","Sedentary",0.0266078069950325,"blue collar","fam_children",1,0.63,"Outdoor"
1426,78,"Female",4,"Quebec","Sedentary",34.369759314971,"retired","fam_children",1,0.29,"Indoor"
1480,59,"Female",0,"Quebec","Sedentary",58.2023982670078,"white collar","fam_children",1,0.74,"Outdoor"
2076,56,"Female",6,"Quebec","Sedentary",3.07299708947539,"blue collar","fam_children",1,0.44,"Outdoor"
2339,26,"Female",3,"Quebec","Sedentary",13.5344432946295,"white collar","fam_children",1,0.15,"Indoor"
337,51,"Female",1,"Quebec","Sedentary",38.9713988063817,"blue collar","solo",1,0.96,"Outdoor"
1927,63,"Female",3,"Quebec","Sedentary",18.0163763510813,"blue collar","solo",1,0.74,"Outdoor"
885,24,"Female",0,"Quebec","Sedentary",9.51192462816834,"student","friends",1,0.76,"Indoor"
1236,34,"Female",1,"Quebec","Sedentary",60.1990425996018,"blue collar","friends",1,0.02,"Indoor"
1349,57,"Female",2,"Quebec","Sedentary",15.1298058167318,"blue collar","friends",1,0.3,"Indoor"
1434,59,"Female",2,"Quebec","Sedentary",133.654079094418,"white collar","friends",1,0.78,"Outdoor"
1600,40,"Female",0,"Quebec","Sedentary",67.5493313338528,"white collar","friends",1,0.13,"Indoor"
