"recipient","pic_seen","site_duration","spend","register"
1,"Ironman",18.2,16.6,0
2,"Spiderman",28.61,15.3,0
3,"Captain America",10.9,16.32,1
4,"Captain America",11.3,22.62,0
5,"Ironman",19.7,17.3,0
6,"Ironman",20.3,17.1,0
7,"Spiderman",28.21,11.9,0
8,"Spiderman",22.01,15.2,0
9,"Spiderman",23.71,14.4,0
10,"Spiderman",25.51,15.1,1
11,"Ironman",22.9,16.8,1
12,"Captain America",10.7,24.32,1
13,"Spiderman",29.41,12.6,0
14,"Ironman",21.6,15.6,1
15,"Ironman",19.1,16,0
16,"Spiderman",13.61,18,0
17,"Captain America",11.9,20.82,1
18,"Spiderman",25.51,9.9,1
19,"Ironman",21.4,15.8,0
20,"Ironman",24,16.8,1
21,"Spiderman",19.31,12.1,1
22,"Captain America",11.4,14.22,0
23,"Spiderman",17.01,12,0
24,"Ironman",20.4,16.8,1
25,"Spiderman",22.71,12.9,0
26,"Captain America",11.6,16.42,1
27,"Spiderman",31.71,14.3,1
28,"Spiderman",24.11,15.4,0
29,"Ironman",19.8,16.8,1
30,"Captain America",10.8,22.12,0
31,"Captain America",10.8,19.12,0
32,"Spiderman",22.01,14.3,0
33,"Captain America",10.5,15.32,1
34,"Ironman",23.4,17,0
35,"Spiderman",26.81,11,1
36,"Ironman",25.9,17.3,1
37,"Ironman",23.8,16.3,0
38,"Spiderman",22.51,9.9,0
39,"Ironman",18.2,15.3,1
40,"Ironman",21.8,16.7,1
41,"Ironman",24.3,17,0
42,"Captain America",10.7,19.92,0
43,"Captain America",11.2,19.72,0
44,"Captain America",10.6,21.32,1
45,"Spiderman",21.11,14.7,1
46,"Captain America",10.9,19.42,0
47,"Ironman",24.1,16.4,0
48,"Spiderman",23.01,16.3,1
49,"Spiderman",18.51,13,0
50,"Spiderman",26.41,10.7,0
51,"Captain America",10.8,15.12,0
52,"Spiderman",25.51,15.1,1
53,"Ironman",21,18.1,0
54,"Captain America",10.3,16.22,1
55,"Captain America",10.5,19.72,0
56,"Captain America",11.8,16.02,0
57,"Ironman",22.6,16.5,0
58,"Captain America",11,19.32,0
59,"Captain America",10.9,19.52,0
60,"Captain America",11.2,18.82,0
61,"Ironman",21.2,17.8,0
62,"Spiderman",23.31,14.1,1
63,"Captain America",11.7,22.12,1
64,"Spiderman",18.31,14.1,0
65,"Spiderman",29.21,11.6,0
66,"Ironman",21.6,17.4,0
67,"Ironman",21.7,16.6,0
68,"Spiderman",21.51,12.5,0
69,"Ironman",22.1,18,0
70,"Ironman",24.1,16.9,1
71,"Captain America",11.3,19.22,0
72,"Ironman",22.7,17.1,0
73,"Spiderman",25.51,16.8,0
74,"Captain America",11.2,17.12,0
75,"Captain America",10.4,15.32,0
76,"Captain America",10.2,18.12,0
77,"Spiderman",19.51,15.2,1
78,"Spiderman",17.61,12.6,1
79,"Spiderman",21.71,13.5,1
80,"Captain America",11.5,18.92,0
81,"Ironman",21.9,17.6,1
82,"Ironman",20.5,15.1,0
83,"Ironman",20.9,17.5,0
84,"Spiderman",16.61,13.7,1
85,"Captain America",10.3,17.62,0
86,"Captain America",11.4,20.42,0
87,"Captain America",11.7,20.12,0
88,"Spiderman",27.01,15.1,0
89,"Spiderman",19.51,9,1
90,"Spiderman",32.11,14,1
91,"Spiderman",25.11,16.9,0
92,"Ironman",22.9,16.8,1
93,"Ironman",19.7,16,1
94,"Captain America",10.6,15.62,1
95,"Captain America",10.4,19.72,0
96,"Ironman",20.5,15.6,0
97,"Ironman",22.3,16.1,0
98,"Ironman",22.1,15.3,0
99,"Captain America",12.1,17.42,0
100,"Ironman",21.8,17.2,1
101,"Spiderman",20.91,10.3,1
102,"Captain America",10.6,20.02,0
103,"Captain America",10.8,19.32,0
104,"Spiderman",24.91,10.6,0
105,"Ironman",22.6,16.6,1
106,"Spiderman",23.51,14.7,0
107,"Spiderman",23.41,14.3,0
108,"Spiderman",20.91,14.6,0
109,"Spiderman",25.41,11.3,0
110,"Captain America",11.4,19.62,0
111,"Spiderman",24.61,14.9,0
112,"Captain America",10,17.62,1
113,"Ironman",21.4,17.6,1
114,"Captain America",11.1,20.32,0
115,"Ironman",22.1,17.2,0
116,"Spiderman",25.81,11.7,0
117,"Captain America",11,19.62,1
118,"Captain America",10.4,19.22,0
119,"Spiderman",24.01,14.8,1
120,"Captain America",10.4,16.12,0
121,"Spiderman",23.21,13.9,0
122,"Spiderman",21.11,13.6,0
123,"Ironman",20.3,16.7,0
124,"Spiderman",25.41,14.3,0
125,"Captain America",10.6,17.82,0
126,"Captain America",10.5,17.82,0
127,"Ironman",22.3,15.6,1
128,"Captain America",11.1,18.82,0
129,"Captain America",11.8,16.82,0
130,"Spiderman",25.71,12.1,0
131,"Spiderman",30.81,13,1
132,"Captain America",10.3,16.52,0
133,"Ironman",21,17,1
134,"Ironman",21.3,17.1,0
135,"Captain America",11.2,14.72,1
136,"Ironman",26.3,16.6,0
137,"Ironman",25,17.6,0
138,"Captain America",10.9,17.52,1
139,"Captain America",11.7,21.22,1
140,"Ironman",27.8,16.7,1
141,"Ironman",22,17.3,1
142,"Spiderman",23.91,14.2,1
143,"Spiderman",22.71,14.6,1
144,"Spiderman",27.71,14.9,1
145,"Ironman",21.6,16.8,0
146,"Spiderman",21.31,15.1,0
147,"Spiderman",25.91,11.9,1
148,"Spiderman",30.61,13.7,0
149,"Spiderman",30.01,14.8,0
150,"Captain America",11.1,18.52,0
151,"Spiderman",17.81,20.8,1
152,"Ironman",23.3,16,1
153,"Ironman",22.5,16.7,0
154,"Spiderman",28.41,15.9,0
155,"Spiderman",20.31,13.4,0
156,"Ironman",20.8,17.6,1
157,"Spiderman",22.91,14.7,0
158,"Captain America",10.8,19.32,0
159,"Spiderman",15.81,15.5,0
160,"Captain America",11.2,12.42,1
161,"Ironman",24.6,15.6,1
162,"Captain America",10.7,17.42,1
163,"Spiderman",23.71,14.9,0
164,"Ironman",18.6,17.8,0
165,"Captain America",10.6,14.22,1
166,"Captain America",10.6,16.32,1
167,"Captain America",10.8,19.22,1
168,"Spiderman",27.11,11.7,0
169,"Spiderman",22.01,12.8,0
170,"Spiderman",27.11,15.2,0
171,"Ironman",25.5,16.7,1
172,"Captain America",10.7,17.22,0
173,"Ironman",24.9,18.4,1
174,"Ironman",22.8,17.6,0
175,"Ironman",23.7,16.9,1
176,"Ironman",23.6,16.2,0
177,"Spiderman",23.21,16.8,0
178,"Ironman",23.8,15.4,0
179,"Ironman",23.2,17,1
180,"Spiderman",28.91,14.7,0
181,"Spiderman",25.61,12.4,0
182,"Ironman",21.7,15.2,0
183,"Spiderman",22.31,12.7,0
184,"Captain America",10.5,19.82,1
185,"Captain America",11.3,19.52,1
186,"Captain America",11,22.92,1
187,"Captain America",11.5,17.22,0
188,"Spiderman",29.21,9.9,0
189,"Ironman",18.3,16.2,1
190,"Captain America",10.2,21.12,0
191,"Captain America",10.8,19.22,1
192,"Spiderman",29.11,11.4,1
193,"Spiderman",32.01,14.7,0
194,"Captain America",11,19.82,0
195,"Ironman",22.3,15.2,1
196,"Captain America",11.1,18.42,0
197,"Ironman",21,18.7,0
198,"Captain America",10.9,16.42,0
199,"Ironman",24.8,17.6,1
200,"Captain America",10.7,19.72,1
201,"Spiderman",24.11,16.4,0
202,"Spiderman",24.01,12,0
203,"Spiderman",21.31,11.4,0
204,"Ironman",23.9,14.6,0
205,"Spiderman",18.41,14.3,0
206,"Captain America",10.2,21.92,0
207,"Captain America",10.7,16.62,0
208,"Spiderman",28.61,14.1,1
209,"Captain America",10.9,19.82,1
210,"Captain America",10.6,17.72,0
211,"Ironman",21.3,17.7,0
212,"Ironman",26,16.7,1
213,"Captain America",11.9,15.72,0
214,"Captain America",11.8,19.42,1
215,"Captain America",12.2,19.72,0
216,"Captain America",11.5,20.32,0
217,"Captain America",11,12.62,0
218,"Ironman",19.7,16.1,0
219,"Spiderman",23.91,13,1
220,"Spiderman",28.31,9.5,0
221,"Spiderman",27.21,10.6,0
222,"Captain America",11.4,20.02,1
223,"Ironman",19.5,15.4,0
224,"Ironman",25.8,15.7,0
225,"Spiderman",20.01,16.8,0
226,"Ironman",21.7,15.8,1
227,"Spiderman",21.71,18.3,0
228,"Spiderman",27.61,11.3,0
229,"Captain America",10.9,14.72,0
230,"Ironman",27.5,16.3,0
231,"Ironman",20.9,16.7,0
232,"Ironman",22.8,15.5,1
233,"Captain America",11.8,20.22,0
234,"Ironman",17.6,16.5,0
235,"Ironman",25,17.1,0
236,"Spiderman",13.71,16.4,1
237,"Ironman",23.4,15.6,1
238,"Spiderman",23.41,14.2,1
239,"Ironman",23.2,16.2,1
240,"Spiderman",22.81,16.7,0
241,"Captain America",12.1,17.62,0
242,"Captain America",11.6,17.72,0
243,"Captain America",11.6,18.62,0
244,"Captain America",11.3,17.02,0
245,"Captain America",11.2,17.42,1
246,"Spiderman",25.01,17.3,1
247,"Ironman",22,18.5,0
248,"Spiderman",22.61,12.2,0
249,"Spiderman",21.91,15.5,1
250,"Spiderman",27.71,13.7,0
251,"Ironman",26.3,17.8,1
252,"Spiderman",24.41,13.7,1
253,"Captain America",10.7,14.62,1
254,"Ironman",23,16.9,1
255,"Spiderman",20.41,10.8,1
256,"Captain America",10.3,18.92,0
257,"Spiderman",21.91,15.2,0
258,"Spiderman",27.31,15.5,1
259,"Ironman",26.3,16.7,1
260,"Captain America",10.4,17.92,0
261,"Spiderman",18.11,14.4,0
262,"Captain America",11.2,18.32,0
263,"Spiderman",18.21,12.9,0
264,"Ironman",21.6,17.4,0
265,"Captain America",11.6,14.72,0
266,"Spiderman",25.21,15.3,0
267,"Spiderman",18.61,14.5,0
268,"Ironman",24.8,17.5,0
269,"Ironman",23.5,17.6,1
270,"Ironman",24.5,16,1
271,"Spiderman",25.91,13.2,0
272,"Captain America",10.7,19.62,0
273,"Spiderman",17.41,15.7,1
274,"Captain America",10.5,17.22,0
275,"Ironman",24.4,16.3,0
276,"Spiderman",29.31,9.5,0
277,"Captain America",11.7,17.62,0
278,"Ironman",23.9,15.8,0
279,"Ironman",27,18.1,0
280,"Spiderman",29.91,11.8,0
281,"Spiderman",22.01,14.4,0
282,"Captain America",10.8,19.72,0
283,"Ironman",24.7,16.4,0
284,"Ironman",23.4,16.6,1
285,"Ironman",23.8,17,0
