"householdID","dietary_spec","dist_park","email_sub","est_inc","hhold_size","leisure_perc","oldest","passholder","previous_attend","social_media_scale","youngest"
1,"None",0.9,"No",62641.5841260858,2,0.08,92,1,1,0.7,13
2,"None",23.8,"Yes",70127.9690706871,3,0.21,41,1,4,0.29,24
3,"None",27.3,"No",112130.429602338,1,0.11,67,1,1,0.08,67
4,"None",20.7,"No",76096.4409154651,2,0.04,31,1,1,0.99,1
5,"Gluten-Free",55.1,"Yes",79925.0894849975,6,0.27,52,0,0,0.22,25
6,"None",29,"No",94508.8999931088,2,0.07,42,0,1,0.56,1
7,"None",37,"No",99528.5044167319,1,0.14,75,0,2,0.57,75
8,"None",70.2,"No",96984.8817812507,2,0.07,91,0,0,0.76,2
9,"None",5.8,"No",92972.4868357841,1,0.16,28,0,3,0.04,28
10,"None",29.4,"Yes",69206.6947208254,4,0.22,72,0,3,0.54,18
11,"Peanut Allergy",4.7,"Yes",75833.345655791,4,0.23,88,1,2,0.53,40
12,"None",16.4,"No",61068.9996831313,1,0.11,31,0,0,0.77,31
13,"Vegetarian",32.7,"Yes",58151.3610152938,4,0.24,42,0,0,0.21,4
14,"None",8.9,"No",61428.506088794,2,0.04,84,0,2,0.55,6
15,"Peanut Allergy",20.5,"Yes",60397.0622430858,4,0.23,67,0,1,0.99,30
16,"None",31.2,"Yes",76768.3947730439,4,0.22,32,1,3,0.69,27
17,"None",1.2,"Yes",78280.3850024646,4,0.22,29,0,1,0.08,4
18,"Peanut Allergy",5.6,"Yes",77867.5314409195,4,0.24,80,1,2,0.85,31
19,"None",2,"No",91366.2651655249,1,0.11,88,1,2,0.13,88
20,"Peanut Allergy",76.5,"Yes",62590.8730481771,4,0.24,45,1,1,0.87,1
21,"None",3.2,"No",72208.8121795915,1,0.14,64,0,3,0.48,64
22,"Gluten-Free",32.1,"Yes",80451.3710839791,6,0.27,72,1,2,0.37,28
23,"None",11.7,"No",88354.1147308038,2,0.07,29,1,6,0.18,8
24,"None",99.4,"Yes",92586.9718026343,3,0.21,28,1,0,0.37,23
25,"None",98.9,"No",69172.6145217499,2,0.06,85,1,6,0.42,9
26,"Peanut Allergy",12.9,"Yes",61111.5957594007,4,0.23,78,0,3,0.75,1
27,"None",19.4,"No",65334.9127346246,2,0.07,28,0,3,0.88,7
28,"None",26.7,"No",93635.1262496039,2,0.04,77,0,3,0.11,9
29,"None",10.2,"No",64024.2945861761,2,0.07,39,0,2,0.73,34
30,"None",9.5,"No",98727.2934359744,2,0.06,30,1,1,0.68,25
31,"None",13.9,"No",67797.4201499252,1,0.14,34,0,3,0.69,34
32,"None",31.4,"No",64541.6336030021,1,0.13,37,1,2,0.47,37
33,"None",9.5,"No",64051.9157287992,1,0.15,35,1,2,0.73,35
34,"None",1.9,"No",86988.1762910921,1,0.11,78,0,5,0.45,78
35,"None",13.8,"No",87576.5794459434,1,0.15,85,0,2,0.42,85
36,"None",15.3,"Yes",75674.800566522,3,0.19,57,1,3,0.36,25
37,"None",70.2,"Yes",63813.9888017464,3,0.21,74,0,5,0.7,53
38,"None",21.9,"No",83649.1594506926,2,0.05,55,0,2,0.49,2
39,"None",7.5,"No",78867.4139566644,2,0.08,51,0,1,0.6,42
40,"None",47.4,"No",70424.5906174882,2,0.04,45,0,1,0.38,30
41,"None",22.1,"No",79348.5084523013,1,0.12,70,0,0,0.25,70
42,"None",6.6,"Yes",44394.7908016967,3,0.19,57,1,2,0.61,18
43,"None",2.3,"No",61144.2477454679,1,0.16,66,1,3,0.94,66
44,"No Dairy",20.6,"Yes",53178.2100299165,5,0.26,68,0,0,0.61,53
45,"None",22.5,"Yes",98847.9690533438,3,0.2,52,1,2,0.66,6
46,"None",53.9,"No",90256.6375645208,2,0.08,64,0,6,0.58,26
47,"None",7.2,"Yes",88664.0974129464,4,0.22,34,0,2,0.69,29
48,"None",28.8,"Yes",84066.0583208727,3,0.19,80,0,2,0.41,0
49,"None",23.7,"No",104734.62830518,1,0.11,68,0,3,0.67,68
50,"None",23.3,"No",76049.0762021344,1,0.12,92,0,4,0.46,92
51,"None",7.3,"No",91173.0025774541,2,0.07,53,0,2,0.98,16
52,"No Dairy",13.4,"Yes",76269.3365739792,5,0.26,50,0,0,0.48,8
53,"None",13.4,"No",90954.4838458408,2,0.09,79,1,0,0.9,42
54,"None",13.9,"No",53780.6519079705,1,0.15,47,0,5,0.21,47
55,"None",21.6,"Yes",78246.9300575741,4,0.22,66,1,2,0.33,54
56,"None",22.5,"No",78829.4572809655,2,0.07,27,0,1,0.16,15
57,"None",11.8,"No",39800.5649148624,2,0.08,72,0,4,0.32,16
58,"Peanut Allergy",6.8,"Yes",82812.7686834326,4,0.23,56,0,1,0.6,42
59,"Peanut Allergy",9.8,"Yes",90881.227751541,4,0.24,77,0,0,0.14,13
60,"None",22.3,"No",79261.9683728949,2,0.08,90,0,1,0.57,13
61,"None",24.7,"No",78459.6616818158,1,0.1,93,1,2,0.83,93
62,"None",4.4,"No",65853.3793265276,2,0.05,79,1,1,0.69,55
63,"None",7.7,"No",77432.0239059206,2,0.09,46,0,0,0.28,17
64,"No Dairy",25,"Yes",91336.8891440444,5,0.26,58,0,0,0.07,48
65,"None",0.8,"No",112166.559436772,2,0.08,87,0,1,0.62,6
66,"None",0.5,"No",104137.439288179,1,0.12,73,0,8,0.84,73
67,"None",1,"Yes",40320.319532311,3,0.19,90,0,0,0.18,39
68,"None",0.1,"No",73672.3826003247,2,0.08,85,0,5,0.73,3
69,"None",37.4,"Yes",64587.2262164588,3,0.2,89,0,1,0.71,8
70,"None",8.8,"Yes",95542.822661997,3,0.21,67,1,3,0.06,28
71,"None",9,"No",93216.200923198,1,0.14,41,1,2,0.91,41
72,"None",35.8,"No",48357.8812434769,1,0.14,50,0,2,0.51,50
73,"None",46.7,"No",68639.7941487696,2,0.08,37,0,2,0.27,32
74,"No Dairy",0.4,"Yes",12009.511017307,5,0.26,46,0,2,0.88,12
75,"None",6.6,"Yes",38168.8005756982,3,0.18,63,1,0,0.91,27
76,"None",34.1,"Yes",78491.8534811654,4,0.22,86,0,0,0.17,30
77,"None",0.9,"No",86053.1986799966,1,0.15,34,1,1,0.42,34
78,"None",55,"No",49456.5006336168,2,0.05,55,0,1,0.67,24
79,"None",14.2,"No",86835.5321637223,1,0.11,62,0,2,0.79,62
80,"None",55.5,"No",79720.4566766934,1,0.16,43,1,1,0.91,43
81,"None",29.9,"No",87959.3814802118,1,0.16,60,0,4,0.63,60
